127.0.0.1 - - [19/Oct/2016:13:41:17 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/theme/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/mobirise/css/mbr-additional.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/tether/tether.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/dropdown/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/socicon/css/socicon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/et-line-font-plugin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/bootstrap-material-design-font/css/material.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/animate.css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/images/20161003213700-148x128-93.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/images/big-thumb-1f6d0c9a36a5d7a27dc4e03c20ab7fd2-600x399-69.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/images/big-thumb-869c56dbeea5b25b64d71744ad615738-600x452-36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/images/iphone-chat-app-interface-design-ramotion-600x450-88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/images/add-friend-600x337-79.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/images/20161003213700-265x228-65.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/web/assets/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/tether/tether.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/smooth-scroll/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/viewportChecker/jquery.viewportchecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/dropdown/js/script.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/touchSwipe/jquery.touchSwipe.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/bootstrap-carousel-swipe/bootstrap-carousel-swipe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/theme/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/assets/formoid/formoid.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/flash.service.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/authentication.service.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/user.service.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/user.service.local-storage.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:18 +0530] "GET /CollaborationWebsite/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/c_user/register.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/et-line-font-plugin/fonts/et-line.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/socicon/fonts/socicon.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/images/web-design-desk2-2000x1051-93.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/images/website-design-background-2000x1125-20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/images/mobile-lifestyle-65-2000x1124-76.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/images/freshlime-digital-branding-and-logo-design-2000x769-86.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/assets/images/photodune-7212896-for-business-l-2000x1333-90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:19 +0530] "GET /CollaborationWebsite/c_home/home.html HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/et-line-font-plugin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/bootstrap-material-design-font/css/material.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/tether/tether.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/socicon/css/socicon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/animate.css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/dropdown/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/theme/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/mobirise/css/mbr-additional.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/web/assets/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/tether/tether.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/smooth-scroll/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/viewportChecker/jquery.viewportchecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/dropdown/js/script.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/touchSwipe/jquery.touchSwipe.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/bootstrap-carousel-swipe/bootstrap-carousel-swipe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/images/big-thumb-1f6d0c9a36a5d7a27dc4e03c20ab7fd2-600x399-69.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/images/20161003213700-148x128-93.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/images/add-friend-600x337-79.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/images/big-thumb-869c56dbeea5b25b64d71744ad615738-600x452-36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:32 +0530] "GET /CollaborationWebsite/assets/images/20161003213700-265x228-65.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/assets/images/iphone-chat-app-interface-design-ramotion-600x450-88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/assets/theme/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/authentication.service.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/flash.service.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/user.service.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/user.service.local-storage.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/c_user/register.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/assets/formoid/formoid.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/assets/images/web-design-desk2-2000x1051-93.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/assets/et-line-font-plugin/fonts/et-line.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/assets/socicon/fonts/socicon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:33 +0530] "GET /CollaborationWebsite/authentication.service.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:36 +0530] "GET /CollaborationWebsite/assets/images/photodune-7212896-for-business-l-2000x1333-90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:36 +0530] "GET /CollaborationWebsite/flash.service.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:36 +0530] "GET /CollaborationWebsite/user.service.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:36 +0530] "GET /CollaborationWebsite/user.service.local-storage.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:36 +0530] "GET /CollaborationWebsite/c_home/home.html HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:39 +0530] "GET /CollaborationWebsite/assets/images/freshlime-digital-branding-and-logo-design-2000x769-86.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:42 +0530] "GET /CollaborationWebsite/assets/images/mobile-lifestyle-65-2000x1124-76.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:41:46 +0530] "GET /CollaborationWebsite/assets/images/website-design-background-2000x1125-20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/c_about/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/bootstrap-material-design-font/css/material.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/socicon/css/socicon.min.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/et-line-font-plugin/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/tether/tether.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/animate.css/animate.min.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/theme/css/style.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:28 +0530] "GET /CollaborationWebsite/sty/mobirise/css/mbr-additional.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/c_about/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/images/logo.png HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/images/logo.png HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/et-line-font-plugin/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/bootstrap-material-design-font/css/material.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/tether/tether.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/socicon/css/socicon.min.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/animate.css/animate.min.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/theme/css/style.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:43:43 +0530] "GET /CollaborationWebsite/sty/mobirise/css/mbr-additional.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:44:36 +0530] "GET /CollaborationWebsite/c_user/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:44:36 +0530] "GET /CollaborationWebsite/c_user/css/set1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:44:36 +0530] "GET /CollaborationWebsite/c_user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:44:37 +0530] "GET /CollaborationWebsite/c_user/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:13 +0530] "GET /CollaborationWebsite/c_user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:13 +0530] "GET /CollaborationWebsite/c_user/css/stylel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:14 +0530] "GET /CollaborationWebsite/c_user/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:14 +0530] "GET /CollaborationWebsite/c_user/images/check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:23 +0530] "GET /CollaborationWebsite/c_user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:23 +0530] "GET /CollaborationWebsite/c_user/css/stylel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:23 +0530] "GET /CollaborationWebsite/c_user/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:45:23 +0530] "GET /CollaborationWebsite/c_user/images/check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2016:13:48:45 +0530] "GET /CollaborationWebsite/c_user/register.html HTTP/1.1" 304 -
